Source.Name,Column1,Column2,Date,Likes,Comment,(view source),Post ID,Label,Hate_Label
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,1,,11-05-2019 15:43,,Nice buro yes I am Hussain khan is me happy owesi brothers and cold and my friend is all is well with your video,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,01-Jan,13-04-2021 07:27,1,@hussainkhansadab teri maa chodate,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,01-Feb,04-07-2021 17:04,2,@hussainkhansadab mohhamad and allah mi maa ki choot,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,01-Mar,30-12-2021 05:29,0,@hussainkhansadab Teri maka bhosda lose nikalo madar chod,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,2,,14-05-2019 03:30,,Send me,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,3,,28-02-2020 03:23,3,Bhn k lode katwe kaat k fenk denge bc tujhe suar,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,4,,15-04-2020 03:07,,So great leader 🙌,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,5,,07-08-2020 07:26,1,Ye india ke sare muslman babar or akbar ki najayaj oolad hun he,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,6,,08-08-2020 06:53,1,Are thari maa ko chodu owesi bhadve,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,06-Jan,04-07-2021 17:01,1,@adult_story_90 chodo iski maa bhai akele owesi nai in sub mullo ko chodo,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,7,,11-10-2020 07:44,2,Teri maa ki chut,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,8,,12-11-2020 09:42,4,Madar chod owesi👎👎👎👎👎🖕🖕🖕,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,9,,08-12-2020 15:09,4,owesi ki maa kaa cholaaa,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,09-Jan,04-07-2021 17:01,1,"@_heart_hacker_gaurav bhai inki maa chod do mullo ko jaha b mile hindu muslim kabhi bhai nai tha ye dalle hai behan k lund .inme mahoomad ne logo ki biwion ,naukar ki ladki se jabardasti shadi ki behan chod hai ye inko jaha b hai inki roji roti maro maa chod do inki",https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
